Player ID,Season ID,Experience
1631230,2022-23,1
1631241,2023-24,1
1631243,2023-24,1
1631245,2023-24,2
1631245,2022-23,1
1631246,2023-24,2
1631246,2022-23,1
1631250,2023-24,1
1631254,2023-24,2
1631254,2022-23,1
1631257,2023-24,1
1631260,2023-24,2
1631260,2022-23,1
1631262,2023-24,1
1631288,2023-24,2
1631288,2022-23,1
1631298,2023-24,2
1631298,2022-23,1
1631303,2023-24,2
1631303,2022-23,1
1631306,2023-24,2
1631306,2022-23,1
1631309,2023-24,1
1631309,2022-23,1
1631311,2023-24,2
1631311,2022-23,1
1631321,2023-24,1
1631323,2023-24,2
1631323,2022-23,1
1631338,2023-24,1
1631367,2023-24,2
1631367,2022-23,1
1631466,2023-24,2
1631466,2022-23,1
1631495,2023-24,1
1631495,2022-23,1
1495,2023-24,19
1495,2022-23,19
1495,2021-22,19
1495,2020-21,19
1495,2019-20,19
1495,2018-19,19
1495,2017-18,19
1495,2016-17,19
1495,2015-16,19
1713,2023-24,22
1713,2022-23,22
1713,2021-22,22
1713,2020-21,22
1713,2019-20,22
1713,2018-19,21
1713,2017-18,20
1713,2016-17,19
1713,2015-16,18
1717,2023-24,21
1717,2022-23,21
1717,2021-22,21
1717,2020-21,21
1717,2019-20,21
1717,2018-19,21
1717,2017-18,20
1717,2016-17,19
1717,2015-16,18
1718,2023-24,19
1718,2022-23,19
1718,2021-22,19
1718,2020-21,19
1718,2019-20,19
1718,2018-19,19
1718,2017-18,19
1718,2016-17,19
1718,2015-16,18
1737,2023-24,18
1737,2022-23,18
1737,2021-22,18
1737,2020-21,18
1737,2019-20,18
1737,2018-19,18
1737,2017-18,18
1737,2016-17,18
1737,2015-16,18
1882,2023-24,17
1882,2022-23,17
1882,2021-22,17
1882,2020-21,17
1882,2019-20,17
1882,2018-19,17
1882,2017-18,17
1882,2016-17,17
1882,2015-16,17
1889,2023-24,17
1889,2022-23,17
1889,2021-22,17
1889,2020-21,17
1889,2019-20,17
1889,2018-19,17
1889,2017-18,17
1889,2016-17,17
1889,2015-16,17
1891,2023-24,19
1891,2022-23,19
1891,2021-22,19
1891,2020-21,19
1891,2019-20,19
1891,2018-19,19
1891,2017-18,19
1891,2016-17,18
1891,2015-16,17
1897,2023-24,17
1897,2022-23,17
1897,2021-22,17
1897,2020-21,17
1897,2019-20,17
1897,2018-19,17
1897,2017-18,17
1897,2016-17,17
1897,2015-16,16
1938,2023-24,16
1938,2022-23,16
1938,2021-22,16
1938,2020-21,16
1938,2019-20,16
1938,2018-19,16
1938,2017-18,16
1938,2016-17,15
1938,2015-16,14
2034,2023-24,17
2034,2022-23,17
2034,2021-22,17
2034,2020-21,17
2034,2019-20,17
2034,2018-19,17
2034,2017-18,17
2034,2016-17,17
2034,2015-16,16
2037,2023-24,20
2037,2022-23,20
2037,2021-22,20
2037,2020-21,20
2037,2019-20,20
2037,2018-19,19
2037,2017-18,18
2037,2016-17,17
2037,2015-16,16
202328,2023-24,10
202328,2022-23,10
202328,2021-22,10
202328,2020-21,9
202328,2019-20,9
202328,2018-19,9
202328,2017-18,8
202328,2016-17,7
202328,2015-16,6
202329,2023-24,11
202329,2022-23,11
202329,2021-22,11
202329,2020-21,11
202329,2019-20,10
202329,2018-19,9
202329,2017-18,8
202329,2016-17,7
202329,2015-16,6
202334,2023-24,12
202334,2022-23,12
202334,2021-22,12
202334,2020-21,11
202334,2019-20,10
202334,2018-19,9
202334,2017-18,8
202334,2016-17,7
202334,2015-16,6
2199,2023-24,19
2199,2022-23,19
2199,2021-22,19
2199,2020-21,19
2199,2019-20,19
2199,2018-19,18
2199,2017-18,17
2199,2016-17,16
2199,2015-16,15
2200,2023-24,18
2200,2022-23,18
2200,2021-22,18
2200,2020-21,18
2200,2019-20,18
2200,2018-19,18
2200,2017-18,17
2200,2016-17,16
2200,2015-16,15
2207,2023-24,18
2207,2022-23,18
2207,2021-22,18
2207,2020-21,17
2207,2019-20,17
2207,2018-19,17
2207,2017-18,17
2207,2016-17,16
2207,2015-16,15
2210,2023-24,17
2210,2022-23,17
2210,2021-22,17
2210,2020-21,17
2210,2019-20,17
2210,2018-19,17
2210,2017-18,17
2210,2016-17,16
2210,2015-16,15
2216,2023-24,17
2216,2022-23,17
2216,2021-22,17
2216,2020-21,17
2216,2019-20,17
2216,2018-19,17
2216,2017-18,17
2216,2016-17,16
2216,2015-16,15
202340,2023-24,12
202340,2022-23,12
202340,2021-22,12
202340,2020-21,11
202340,2019-20,10
202340,2018-19,9
202340,2017-18,8
202340,2016-17,7
202340,2015-16,6
